Id,SalePrice
2658,119533.31598727324
2718,158617.3428556119
2414,222443.89922136656
1989,111496.15482047458
625,176017.80100310317
333,89155.0181821032
1327,105785.52066357307
858,143005.87767747056
95,180959.24688280033
1568,169807.4108219717
2482,145357.21428594834
1364,118358.27363828923
2584,144547.82966962742
818,289471.83906069444
2673,146678.01602235658
2089,128665.31837652499
1297,183218.64403199733
790,115890.80240620932
2616,214619.77610221156
720,199326.398732011
222,146576.62919588742
557,117738.78555750233
1148,183288.97757453544
2766,170385.94658185745
534,168687.34185271335
1452,112981.1280423985
630,128996.63872537787
2648,150158.84893300507
125,153682.1953418074
1904,52777.305451620734
1670,103086.36162355103
756,92809.26104820226
717,233621.4153982384
1032,171800.03662954964
852,210053.7773872448
1731,197614.64119709286
2639,107293.92197109031
2071,73186.80313933847
1267,112384.25434950019
1851,196146.50986085783
567,164693.96117389962
2439,201171.09933336603
1898,147608.51721029595
647,180935.48297261776
2256,217078.06839562766
979,104888.8947898778
1444,213171.79819319464
2485,124485.70592196428
157,125627.42957837874
88,124241.61052805057
2003,108938.34710884982
186,213309.71598536038
1425,230355.61321376186
2695,121572.5565851309
738,100122.42723133943
395,153144.51214624816
1353,167654.01693288505
1878,150263.67669868493
390,163674.16620338918
1456,223333.9224599318
1103,323961.64057173475
1387,170261.04455572867
2070,155614.33837272105
1199,167734.2421295063
2479,163591.7400173689
501,311672.3127951344
2362,101928.00895034107
1718,216864.91121768733
2188,102230.93693427746
1483,147684.9181819879
2557,89848.00065835025
437,377714.206037904
2224,211745.56508080685
1628,174585.66461637244
397,119785.24382120419
587,194092.14361371493
971,153763.81053770962
2611,145492.04225819674
1887,81538.4644745226
2399,357651.0620697226
2148,196333.04388508084
304,129258.49761503
1997,128290.54843407651
2817,121486.51517787078
1431,192433.15068124648
427,343640.9348245397
263,118367.8507997676
598,179778.62274095035
2895,238496.13559415264
687,147386.4742600078
1822,132381.07861919957
2191,99553.05569537194
179,117573.94603249615
1009,218018.8133446309
2010,127676.59403035423
1991,131782.16576811916
1411,202710.82378517606
1721,246551.7250141474
1144,176438.2523201286
593,210154.03450666167
575,292565.5572459926
1249,171566.06164591172
1604,131024.20315278479
1064,488088.57643088826
1923,158488.66729261805
1988,108669.36068382245
2325,172169.9021626965
114,201108.72250701714
2700,191718.0676519143
217,135085.40803572416
343,182857.83731177417
386,212830.14246999795
2005,109276.96618221415
